Gene	chrom	start	end
CAPZB	1	19665576	19809478
C1orf151	1	19924157	19956304
C1orf15-NBL1	1	19957893	19984953
HTR6	1	19994144	20003656
TMCO4	1	20008824	20125446
RNF186	1	20140796	20140840
OTUD3	1	20209588	20238636
PLA2G2E	1	20249390	20249445
PLA2G2A	1	20302340	20306369
PLA2G5	1	20397255	20417652
PLA2G2D	1	20440184	20445480
PLA2G2F	1	20467074	20475647
PLA2G2C	1	20490562	20500800
UBXN10	1	20513439	20518371
VWA5B1	1	20619009	20680765
LOC339505	1	20686794	20753642
CAMK2N1	1	20809150	20810221
MUL1	1	20828126	20832734
FAM43B	1	20880744	20880793
CDA	1	20916440	20945397
PINK1	1	20960978	20977874
DDOST	1	20979798	20985976
KIF17	1	20993154	21041851
SH2D5	1	21047090	21056475
HP1BP3	1	21069282	21112439
EIF4G3	1	21134082	21503352
ECE1	1	21546057	21670597
NBPF3	1	21782508	21805584
ALPL	1	21837727	21904842
RAP1GAP	1	21922812	21993565
USP48	1	22005811	22108379
LDLRAD2	1	22138754	22150328
HSPG2	1	22154028	22263234
CELA3B	1	22308608	22308663
HSPC157	1	22352654	22357738
CDC42	1	22380392	22416857
WNT4	1	22446207	22468314
ZBTB40	1	22779713	22857024
EPHA8	1	22891616	22929512
C1QA	1	22964515	22966191
C1QC	1	22971285	22974613
C1QB	1	22981859	22987303
EPHB2	1	23039019	23241089
KDM1A	1	23347077	23409165
LUZP1	1	23412830	23494554
HTR1D	1	23519807	23521214
HNRNPR	1	23638155	23668940
ZNF436	1	23687483	23695101
C1orf213	1	23696679	23698149
TCEA3	1	23707711	23750050
ASAP3	1	23755068	23808724
E2F2	1	23833671	23856885
ID3	1	23885141	23886267
MDS2	1	23958461	23966858
RPL11	1	24020118	24022541
TCEB3	1	24071784	24086407
PITHD1	1	24106635	24112849
LYPLA2	1	24117913	24119518
GALE	1	24122066	24125888
HMGCL	1	24129116	24151538
FUCA1	1	24172510	24193383
CNR2	1	24202369	24239221
MYOM3	1	24383432	24437611
IL22RA1	1	24447568	24468994
IL28RA	1	24481419	24511854
LOC284632	1	24528450	24535557
GRHL3	1	24647471	24690203
C1orf201	1	24691895	24741556
NIPAL3	1	24743971	24799388
RCAN3	1	24831054	24861532
C1orf130	1	24883738	24934051
SRRM1	1	24971173	24998677
CLIC4	1	25073158	25169024
RUNX3	1	25226913	25291411
SYF2	1	25549664	25557973
C1orf63	1	25569014	25572651
RHD	1	25609449	25609508
TMEM50A	1	25665625	25688208
RHCE	1	25688876	25736860
TMEM57	1	25758587	25824815
LDLRAP1	1	25871610	25893705
MAN1C1	1	25946048	26110842
SEPN1	1	26129295	26144737
FAM54B	1	26148918	26157793
C1orf135	1	26162261	26184901
PAQR7	1	26188698	26197734
STMN1	1	26211420	26231256
PAFAH2	1	26287908	26324426
EXTL1	1	26350405	26360734
SLC30A2	1	26367040	26371497
TRIM63	1	26377998	26393019
PDIK1L	1	26439337	26450997
GRRP1	1	26485866	26488879
CNKSR1	1	26504762	26516371
CATSPER4	1	26517504	26528126
CCDC21	1	26561804	26605322
UBXN11	1	26609965	26644075
CD52	1	26646724	26646772
AIM1L	1	26650926	26680055
ZNF683	1	26689233	26698844
LIN28A	1	26739535	26753411
DHDDS	1	26759521	26797814
HMGN2	1	26800658	26800716
RPS6KA1	1	26856790	26900961
ARID1A	1	27025675	27107352
PIGV	1	27115657	27124615
ZDHHC18	1	27154572	27181186
SFN	1	27190888	27190935
GPN2	1	27207565	27215811
GPATCH3	1	27217903	27225596
NR0B2	1	27237958	27240579
NUDC	1	27249093	27271607
C1orf172	1	27276064	27285338
TRNP1	1	27321737	27326738
FAM46B	1	27331505	27338030
SLC9A1	1	27426023	27480980
WDTC1	1	27562683	27634739
TMEM222	1	27650835	27661334
SYTL1	1	27668819	27678945
MAP3K6	1	27681646	27691949
FCN3	1	27695583	27701122
CD164L2	1	27705642	27708874
GPR3	1	27720163	27721708
WASF2	1	27734957	27814722
AHDC1	1	27861045	27929263
FGR	1	27938975	27961321
IFI6	1	27992554	27997643
FAM76A	1	28053446	28089423
STX12	1	28100494	28150363
PPP1R8	1	28159185	28177799
C1orf38	1	28202138	28212975
RPA2	1	28219420	28240568
SMPDL3B	1	28261614	28284613
XKR8	1	28288055	28293684
EYA3	1	28298931	28413803
LOC653566	1	28422954	28423013
PTAFR	1	28474713	28519865
DNAJC8	1	28529620	28559090
ATPIF1	1	28564148	28564583
SESN2	1	28587496	28609032
MED18	1	28655666	28662408
PHACTR4	1	28697527	28824652
SNHG3	1	28833190	28837415
RCC1	1	28838860	28865136
TRNAU1AP	1	28882205	28904313
SNHG12	1	28905091	28907182
RAB42	1	28919653	28919697
TAF12	1	28929761	28968884
GMEB1	1	28997596	29041670
YTHDF2	1	29064091	29094876
OPRD1	1	29140389	29186290
EPB41	1	29215072	29443609
TMEM200B	1	29447324	29447375
SRSF4	1	29474425	29507486
MECR	1	29521268	29556772
PTPRU	1	29563566	29653134
MATN1	1	31184216	31195166
LOC100129196	1	31196986	31199596
LAPTM5	1	31205827	31229931
SDC3	1	31342484	31380252
PUM1	1	31404471	31538419
NKAIN1	1	31653664	31710822
SNRNP40	1	31732502	31769184
ZCCHC17	1	31772283	31835822
FABP3	1	31839611	31845380
SERINC2	1	31884030	31907514
LOC149086	1	31972686	31972745
LOC284551	1	31986390	31989876
TINAGL1	1	32043728	32053313
HCRTR1	1	32084126	32091488
PEF1	1	32096487	32109376
COL16A1	1	32119274	32168926
BAI2	1	32192705	32227733
SPOCD1	1	32256012	32281262
PTP4A2	1	32375537	32402655
KHDRBS1	1	32481351	32508602
TMEM39B	1	32539457	32567612
KPNA6	1	32575556	32642194
TXLNA	1	32645869	32663902
CCDC28B	1	32667091	32670544
IQCC	1	32671707	32674302
DCDC2B	1	32677185	32681284
TMEM234	1	32683008	32685674
EIF3I	1	32688762	32694705
MTMR9LP	1	32697257	32705120
FAM167B	1	32713551	32713605
LCK	1	32717680	32749074
HDAC1	1	32758332	32797012
MARCKSL1	1	32799418	32799476
TSSK3	1	32829811	32829866
BSDC1	1	32833088	32860058
ZBTB8B	1	32932195	32951773
ZBTB8A	1	33005951	33071446
ZBTB8OS	1	33087573	33115655
RBBP4	1	33118867	33151519
SYNC	1	33154009	33167046
KIAA1522	1	33209937	33238880
YARS	1	33240836	33281912
S100PBP	1	33284303	33323488
FNDC5	1	33327973	33337684
HPCA	1	33353607	33360247
TMEM54	1	33361916	33364705
RNF19B	1	33403334	33428144
AK2	1	33473711	33499958
ADC	1	33547444	33585989
TRIM62	1	33610997	33645991
ZNF362	1	33722578	33765807
PHC2	1	33790194	33840241
ZSCAN20	1	33938689	33961296
CSMD2	1	33980564	34631166
C1orf94	1	34633429	34683502
GJB5	1	35222039	35223404
GJB4	1	35226307	35227925
GJB3	1	35248010	35251980
GJA4	1	35259542	35259592
C1orf212	1	35316037	35324230
DLGAP3	1	35332321	35369111
LOC653160	1	35442779	35444143
LOC100506144	1	35447448	35450045
ZMYM6	1	35453109	35496289
ZMYM1	1	35545740	35579960
SFPQ	1	35650480	35656680
ZMYM4	1	35736508	35885531
KIAA0319L	1	35899122	36021594
NCDN	1	36023621	36032384
TFAP2E	1	36040308	36060563
PSMB2	1	36067956	36106454
C1orf216	1	36179454	36183800
CLSPN	1	36198158	36234382
EIF2C4	1	36274996	36321572
EIF2C1	1	36350045	36389667
EIF2C3	1	36397964	36520911
TEKT2	1	36550772	36552398
ADPRHL2	1	36556023	36557195
COL8A2	1	36560890	36563135
TRAPPC3	1	36602631	36614305
MAP7D1	1	36623662	36646459
THRAP3	1	36690721	36769171
SH3D21	1	36773968	36786345
STK40	1	36805290	36848336
LSM10	1	36859046	36862883
OSCP1	1	36883598	36915614
MRPS15	1	36921976	36929106
CSF3R	1	36931675	36948005
GRIK3	1	37261229	37497818
ZC3H12A	1	37941943	37948354
MEAF6	1	37958314	37979000
SNIP1	1	38003163	38019361
DNALI1	1	38023308	38031152
GNL2	1	38032447	38060903
RSPO1	1	38077843	38097718
C1orf109	1	38147885	38154079
CDCA8	1	38160662	38175409
EPHA10	1	38181632	38229544
MANEAL	1	38261301	38266857
YRDC	1	38270338	38272264
C1orf122	1	38274509	38274568
MTF1	1	38276705	38323794
INPP5B	1	38326364	38412198
SF3A3	1	38424446	38454522
FHL3	1	38462695	38470339
UTP11L	1	38478764	38489475
POU3F1	1	38509553	38510995
RRAGC	1	39305845	39324499
MYCBP	1	39329072	39336624
GJA9-MYCBP	1	39339917	39347167
RHBDL2	1	39352000	39406756
AKIRIN1	1	39458380	39468827
NDUFS5	1	39493194	39500033
MACF1	1	39548332	39952065
BMP8A	1	39962438	39993886
PPIEL	1	39997181	40024280
PABPC4	1	40027290	40042429
HEYL	1	40090471	40104814
NT5C1A	1	40125372	40135864
HPCAL4	1	40147052	40156189
PPIE	1	40206892	40228275
BMP8B	1	40242379	40251946
TRIT1	1	40309279	40347187
MYCL1	1	40362282	40366168
MFSD2A	1	40421743	40435550
CAP1	1	40507235	40536062
PPT1	1	40538557	40562444
RLF	1	40628072	40705437
TMCO2	1	40714868	40716979
ZMPSTE24	1	40724355	40758794
COL9A2	1	40767602	40782194
SMAP2	1	40840664	40888751
ZNF643	1	40918588	40928146
ZNF642	1	40943665	40961840
DEM1	1	40975433	40981378
ZNF684	1	40999234	41013796
RIMS3	1	41086977	41130152
LOC100130557	1	41156529	41156588
NFYC	1	41158961	41236879
KCNQ4	1	41250641	41306151
CITED4	1	41326707	41326761
CTPS	1	41447370	41478153
LOC100507178	1	41482239	41507735
SCMH1	1	41510425	41706567
EDN2	1	41944420	41949606
HIVEP3	1	41975850	42384279
GUCA2B	1	42619525	42619571
GUCA2A	1	42629541	42629590
FOXJ3	1	42642282	42798813
RIMKLA	1	42847101	42889093
ZMYND12	1	42897380	42921835
PPCS	1	42923852	42925694
CCDC30	1	43002797	43119115
PPIH	1	43125867	43140867
YBX1	1	43150247	43166851
CLDN19	1	43199302	43204532
LEPRE1	1	43212006	43231252
C1orf50	1	43234156	43239342
CCDC23	1	43273437	43281624
ERMAP	1	43283781	43310060
ZNF691	1	43313756	43316525
SLC2A1	1	43391637	43423277
FLJ32224	1	43425970	43448292
FAM183A	1	43613924	43619546
EBNA1BP2	1	43631674	43636869
WDR65	1	43638547	43674969
TMEM125	1	43737278	43739612
C1orf210	1	43748505	43750925
TIE1	1	43767600	43788110
MPL	1	43804731	43819875
CDC20	1	43825375	43827762
ELOVL1	1	43829050	43831642
MED8	1	43849576	43854683
C1orf84	1	43855916	43870663
KIAA0467	1	43888946	43916860
HYI	1	43919588	43919633
PTPRF	1	43998664	44088182
KDM4A	1	44116641	44170170
LOC100132774	1	44172267	44172326
ST3GAL3	1	44174470	44396235
ARTN	1	44400377	44402845
IPO13	1	44413759	44431339
DPH2	1	44436905	44439038
ATP6V0B	1	44441473	44443970
B4GALT2	1	44446084	44455987
CCDC24	1	44458259	44462215
SLC6A9	1	44464540	44495010
KLF17	1	44584904	44598914
DMAP1	1	44679764	44685392
ERI3	1	44688133	44819145
RNF220	1	44872171	45117404
TMEM53	1	45120078	45139283
C1orf228	1	45140888	45189105
KIF2C	1	45206682	45232501
RPS8	1	45242087	45243285
BEST4	1	45251841	45253065
PLK3	1	45267499	45269910
TCTEX1D4	1	45272429	45272485
BTBD19	1	45274955	45277410
PTCH2	1	45285515	45308465
EIF2B3	1	45317039	45451594
HECTD3	1	45468202	45475704
UROD	1	45478085	45481282
ZSWIM5	1	45483709	45671115
LOC400752	1	45770598	45770647
HPDL	1	45793780	45793830
MUTYH	1	45794902	45804405
TOE1	1	45806209	45807730
TESK2	1	45809747	45955694
CCDC163P	1	45960685	45964667
MMACHC	1	45966805	45976618
PRDX1	1	45978542	45987857
AKR1A1	1	46017461	46035742
NASP	1	46050875	46084607
CCDC17	1	46086758	46088065
GPBP1L1	1	46092965	46151676
TMEM69	1	46154927	46158049
IPP	1	46160099	46214805
MAST2	1	46271503	46499353
PIK3R3	1	46505947	46598046
TSPAN1	1	46641130	46650691
POMGNT1	1	46655336	46685302
C1orf190	1	46686418	46686477
RAD54L	1	46713942	46744153
LRRC41	1	46745423	46766088
UQCRH	1	46771887	46782100
NSUN4	1	46806817	46830652
FAAH	1	46860319	46878199
DMBX1	1	46972950	46977241
KNCN	1	47012864	47015373
MKNK1	1	47023613	47068581
MOBKL2C	1	47074681	47081886
ATPAF1	1	47100697	47132999
KIAA0494	1	47141025	47183434
CYP4B1	1	47265667	47284836
CYP4Z2P	1	47324561	47364999
CYP4A11	1	47397397	47405469
CYP4X1	1	47493326	47516313
CYP4Z1	1	47533758	47581194
CYP4A22	1	47606106	47608677
PDZK1IP1	1	47649298	47655374
TAL1	1	47681954	47693420
STIL	1	47716828	47779386
CMPK1	1	47800921	47844086
FOXE3	1	47883402	47883449
MGC12982	1	47898986	47899033
FOXD2	1	47902505	47902554
LOC388630	1	48226249	48461743
SKINTL	1	48568879	48648121
SLC5A9	1	48690349	48713714
SPATA6	1	48763881	48936332
AGBL4	1	48999495	50488233
ELAVL4	1	50515432	50666998
DMRTA2	1	50883522	50887502
FAF1	1	50909747	51424923
CDKN2C	1	51436108	51437689
C1orf185	1	51569661	51613500
RNF11	1	51703617	51737723
TTC39A	1	51753221	51810001
EPS15	1	51823248	51983310
OSBPL9	1	52082535	52254274
NRD1	1	52255893	52343494
RAB3B	1	52373610	52453969
TXNDC12	1	52486303	52520921
BTF3L4	1	52523217	52551898
ZFYVE9	1	52609423	52811626
CC2D1B	1	52817945	52830546
ORC1	1	52838504	52869184
PRPF38A	1	52870840	52883444
ZCCHC11	1	52889161	53017723
GPX7	1	53069278	53074600
FAM159A	1	53100638	53122285
SELRC1	1	53152020	53162233
ZYG11B	1	53192974	53291901
ZYG11A	1	53309873	53358296
ECHDC2	1	53362643	53385613
SCP2	1	53395707	53517120
PODN	1	53529337	53551115
SLC1A7	1	53552836	53605901
CPT2	1	53662253	53679809
C1orf123	1	53681140	53685634
MAGOH	1	53694503	53701905
LRP8	1	53711886	53792921
DMRTB1	1	53928162	53932652
GLIS1	1	53971917	54199845
TMEM48	1	54231918	54303582
YIPF1	1	54317368	54354623
DIO1	1	54362208	54376736
HSPB11	1	54387369	54410986
LRRC42	1	54413106	54433582
LDLRAD1	1	54475216	54482727
TMEM59	1	54498170	54518764
TCEANC2	1	54519957	54563108
CDCP2	1	54605047	54619305
CYB5RL	1	54638869	54664654
MRPL37	1	54667166	54683812
SSBP3	1	54694145	54869282
ACOT11	1	55014715	55093968
HEATR8	1	55108604	55173316
HEATR8-TTC4	1	55175914	55206987
PARS2	1	55222572	55229354
TTC22	1	55248835	55265806
C1orf177	1	55273500	55306644
DHCR24	1	55315515	55351836
TMEM61	1	55446929	55457184
BSND	1	55465831	55472425
PCSK9	1	55506269	55530451
USP24	1	55532511	55679283
PPAP2B	1	56960896	57042633
PRKAA2	1	57112061	57179290
C1orf168	1	57185065	57283806
C8A	1	57321705	57383573
C8B	1	57394862	57431433
DAB1	1	57463557	58714249
OMA1	1	58946592	59011107
TACSTD2	1	59041077	59041136
MYSM1	1	59127182	59164465
JUN	1	59246513	59249622
LOC100131060	1	59250956	59364711
LOC729467	1	59599325	59610173
FGGY	1	59764248	60228044
HOOK1	1	60281387	60341380
CYP2J2	1	60359836	60391772
C1orf87	1	60456143	60538368
NFIA	1	61546348	61928386
TM2D1	1	62149154	62189005
INADL	1	62209329	62627561
L1TD1	1	62661007	62675154
KANK4	1	62702032	62783442
USP1	1	62904537	62916600
DOCK7	1	62920906	63152965
ATG4C	1	63250395	63329862
ALG6	1	63834902	63901185
ITGB3BP	1	63906439	63986935
EFCAB7	1	63990128	64037998
PGM1	1	64059739	64125456
ROR1	1	64241233	64644483
UBE2U	1	64669597	64709837
CACHD1	1	64936944	65158766
RAVER2	1	65211614	65296923
JAK1	1	65299785	65430788
AK4	1	65615374	65695359
DNAJC6	1	65730585	65881108
LEPROT	1	65887386	65900204
LEPR	1	65901969	66102696
PDE4B	1	66259870	66840152
SGIP1	1	66999980	67209083
TCTEX1D1	1	67218954	67244082
INSL5	1	67263482	67266907
WDR78	1	67278719	67389675
MIER1	1	67392221	67453183
SLC35D1	1	67467163	67517970
C1orf141	1	67558419	67592937
IL23R	1	67632300	67724257
IL12RB2	1	67773123	67862442
SERBP1	1	67873909	67894332
GADD45A	1	68151167	68153395
GNG12	1	68167158	68298167
DIRAS3	1	68511914	68515929
WLS	1	68564177	68696417
RPE65	1	68895332	68915569
DEPDC1	1	68940507	68961630
LRRC7	1	70226824	70588401
LRRC40	1	70610646	70670215
SRSF11	1	70672117	70716379
ANKRD13C	1	70724975	70818523
HHLA3	1	70821718	70832088
CTH	1	70877293	70904081
PTGER3	1	71318416	71512868
ZRANB2	1	71529263	71546207
NEGR1	1	71869199	72747667
LRRIQ3	1	74492861	74661977
FPGT	1	74664404	74672656
FPGT-TNNI3K	1	74674949	75009825
C1orf173	1	75034221	75138840
CRYZ	1	75172781	75198654
TYW3	1	75200772	75230948
LHX8	1	75594162	75626602
SLC44A5	1	75668115	76076774
ACADM	1	76191303	76227026
RABGGTB	1	76253128	76260582
MSH4	1	76263675	76378859
ASB17	1	76385998	76397654
ST6GALNAC3	1	76541011	77096285
ST6GALNAC5	1	77335436	77529344
PIGK	1	77554915	77683627
AK5	1	77748553	78024586
ZZZ3	1	78031755	78148026
USP33	1	78163554	78223826
FAM73A	1	78246304	78343452
NEXN	1	78355686	78408816
FUBP1	1	78414060	78443755
DNAJB4	1	78473597	78482920
GIPC2	1	78512640	78601492
MGC27382	1	78698045	78834968
PTGFR	1	78957282	79005563
IFI44L	1	79086198	79111197
IFI44	1	79115994	79128311
ELTD1	1	79355681	79471920
LPHN2	1	82266094	82457649
TTLL7	1	84336095	84462120
PRKACB	1	84544969	84703875
SAMD13	1	84766286	84815376
UOX	1	84831282	84861703
DNASE2B	1	84864240	84878247
RPF1	1	84945528	84963276
GNG5	1	84964330	84970879
SPATA1	1	84972677	85030997
CTBS	1	85032080	85039627
C1orf180	1	85094681	85099693
SSX2IP	1	85111153	85154189
LPAR3	1	85279518	85358132
MCOLN2	1	85391947	85462017
MCOLN3	1	85484587	85512734
WDR63	1	85529322	85598622
SYDE2	1	85625109	85664716
C1orf52	1	85716795	85723154
BCL10	1	85731634	85741323
DDAH1	1	85784417	86043127
CYR61	1	86047292	86049101
ZNHIT6	1	86115445	86173426
COL24A1	1	86195027	86619765
ODF2L	1	86813247	86860885
CLCA2	1	86890964	86922170
CLCA1	1	86934518	86965542
CLCA4	1	87014621	87045048
CLCA3P	1	87101632	87120035
SH3GLB1	1	87172217	87213287
SEP15	1	87329131	87379996
HS2ST1	1	87381488	87574747
LOC339524	1	87597256	87634300
LMO4	1	87796492	87812403
PKN2	1	89151135	89299041
GTF2B	1	89319011	89356179
CCBL2	1	89401644	89458015
GBP3	1	89472704	89486505
GBP1	1	89520146	89529294
GBP2	1	89573737	89591822
GBP7	1	89598929	89640618
GBP4	1	89647332	89663039
GBP5	1	89724953	89738050
GBP6	1	89832098	89853701
GBP1P1	1	89874059	89888904
LRRC8B	1	89992280	90063028
FLJ27354	1	90091178	90097496
LRRC8C	1	90100093	90182938
LRRC8D	1	90287630	90401819
GEMIN8P4	1	90460180	90460239
ZNF326	1	90461398	90493839
BARHL2	1	91179838	91181658
ZNF644	1	91382020	91486593
HFM1	1	91726333	91869260
CDC7	1	91968111	91989442
HSP90B3P	1	92102400	92107973
TGFBR3	1	92146845	92369812
BRDT	1	92415008	92479493
EPHX4	1	92498006	92528756
BTBD8	1	92546662	92612788
KIAA1107	1	92634602	92649716
C1orf146	1	92684642	92710781
GLMN	1	92713491	92763090
RPAP2	1	92765164	92853603
GFI1	1	92940384	92952348
EVI5	1	92974413	93257948
RPL5	1	93300068	93305048
FAM69A	1	93308385	93425820
MTF2	1	93545991	93604410
TMED5	1	93616980	93645136
CCDC18	1	93647009	93744076
LOC100131564	1	93775809	93809242
DR1	1	93812344	93826859
FNBP1L	1	93915767	94018197
BCAR3	1	94027470	94145647
DNTTIP2	1	94335241	94343977
GCLM	1	94354416	94374227
ABCA4	1	94459476	94586534
ARHGAP29	1	94634445	94701573
ABCD3	1	94885455	94983953
F3	1	94995111	95005925
SLC44A3	1	95286548	95360648
CNN3	1	95364614	95391134
LOC729970	1	95394886	95427494
ALG14	1	95448742	95537906
TMEM56	1	95559156	95662228
TMEM56-RWDD3	1	95663932	95710242
RWDD3	1	95712310	95712369
PTBP2	1	97189013	97279665
DPYD	1	97545464	98384614
MIR137	1	98511642	98511701
SNX7	1	99128608	99224639
LPPR5	1	99356288	99467913
LOC100129620	1	99471693	99612931
LPPR4	1	99732105	99774875
PALMD	1	100112448	100159506
MIR548AA1	1	100161329	100177766
FRRS1	1	100178998	100228752
AGL	1	100316598	100389557
SLC35A3	1	100437212	100487408
HIAT1	1	100504608	100547792
SASS6	1	100549641	100596613
CCDC76	1	100600216	100614608
LRRC39	1	100617786	100643321
DBT	1	100652530	100713870
